2019冠狀病毒病 2019冠状病毒病
21三體綜合症 21三体综合症
3C 3C
3P 3P
3Q 3Q
421 421
502膠 502胶
88 88
996 996
A A
AA制 AA制
AB制 AB制
ACG ACG
A咖 A咖
A圈兒 A圈儿
A片 A片
A菜 A菜
A貨 A货
B B
BM BM
BP機 BP机
B型超聲 B型超声
B格 B格
B站 B站
B超 B超
CJB CJB
cos cos
CP CP
CP值 CP值
C位 C位
C盤 C盘
C羅 C罗
DNA鑒定 DNA鉴定
E仔 E仔
G友 G友
G弦褲 G弦裤
G點 G点
H橋 H桥
ins ins
IP IP
IP劇 IP剧
JK製服 JK制服
K人 K人
K仔 K仔
K他命 K他命
K房 K房
K書 K书
K歌 K歌
K粉 K粉
K線 K线
K線圖 K线图
K金 K金
L照 L照
MC MC
mua mua
MV MV
M巾 M巾
NG NG
NG片段 NG片段
NG鏡頭 NG镜头
N久 N久
N擋 N挡
OK繃 OK绷
OK鏡 OK镜
OS OS
O型腿 O型腿
P P
PA PA
PA部 PA部
PK PK
PO PO
PO文 PO文
PU PU
PUA PUA
P圖 P图
P擋 P挡
P民 P民
Q Q
QR扣 QR扣
Q勁 Q劲
Q彈 Q弹
T T
TA TA
TF卡 TF卡
Tony Tony
Tony老師 Tony老师
T台 T台
T型台 T型台
T字帳 T字帐
T字褲 T字裤
T恤 T恤
T裇 T裇
UP主 UP主
USB手指 USB手指
USB記憶棒 USB记忆棒
U凸內褲 U凸内裤
U型枕 U型枕
U型池 U型池
U形轉彎 U形转弯
U盤 U盘
U盾 U盾
VCR VCR
V溝 V沟
w w
word word
word姐 word姐
XO醬 XO酱
X光 X光
π日 π日
□ □
□ □
□ □
○ ○
⺮ ⺮
々 々
〇 〇
〡 〡
〢 〢
〣 〣
〤 〤
〥 〥
〦 〦
〧 〧
〨 〨
〩 〩
〸 〸
〻 〻
ㄅㄧㄤˋ ㄅㄧㄤˋ
㍻ ㍻
㍼ ㍼
㍽ ㍽
㍾ ㍾
㐄 㐄
㐅 㐅
㐆 㐆
㐌 㐌
㐖 㐖
㐖毒 㐖毒
㐜 㐜
㐡 㐡
㐤 㐤
㐫 㐫
㐰 㐰
㐺 㐺
㑊 㑊
㑳 㑇
㑺 俊
㒳 㒳
㒸 㒸
㒺 罔
㓂 寇
㔾 㔾
㕁 却
㕑 厨
㕘 参
㕥 㕥
㕥 以
㕯 㕯
㕻 㕻
㗂 㗂
㘚 㘎
㘭 坳
㘵 㘵
㙍 㙍
㙦 㙦
㚻 㚻
㚻姦 㚻奸
㛂 㛂
㛃 㛃
㝄 㝄
㝇 㝇
㝛 宿
㝠 冥
㝡 最
㝵 㝵
㝵 㝵
㞎 㞎
㞎㞎 㞎㞎
㞗 㞗
㞙 㞙
㞞 𪨊
㟁 岸
㟃 㟃
㠀 岛
㠇 㠇
㠯 以
㠶 帆
㡌 帽
㢘 廉
㢠 迥
㢲 㢲
㢴 㢴
㣟 㣟
㤅 㤅
㤙 恩
㥁 㥁
㥏 㥏
㥦 惬
㥮 㤘
㥯 㥯
㦂 㦂
㧯 㧯
㧱 拿
㨃 㨃
㨗 捷
㨪 晃
㨿 据
㩐 㩐
㩗 携
㩜 㨫
㩦 携
㩳 㧐
㪃 㪃
㪋 㪋
㪚 散
㪟 敦
㫰 㫰
㫺 㫺
㬉 暖
㬎 㬎
㮎 㮎
㮚 㮚
㮸 㮸
㯭 橹
㯳 㯳
㱃 饮
㱾 㱾
㲈 㲈
㲈 㲈
㲋 㲋
㲱 㲱
㲾 㲾
㳂 㳂
㳄 涎
㳇 㳇
㳒 法
㳘 㳘
㳮 㳮
㴱 深
㵎 涧
㵐 㵐
㵐水 㵐水
㵪 㵪
㵮 㵮
㶸 㶸
㷖 㷖
㷭 㷭
㷸 烨
㸌 㸌
㹠 㹠
㹢 㹢
㹴 㹴
㹴犬 㹴犬
㺢 㺢
㺢㹢狓 㺢㹢狓
㺵 㺵
㻬 㻬
㻽 㻽
㼝 碗
㽞 留
㽮 㽮
㿜 瘪
㿝 㿝
㿠 㿠
䂖 䂖
䂲 䂲
䂶 䂶
䃉 䃉
䃎 䃎
䅵 䅵
䇲 䇲
䈰 筲
䊀 糊
䍃 䍃
䍹 䍹
䎃 䎃
䒗 䒗
䓬 䓬
䔢 䔢
䕭 䕭
䕭 䕭
䖟 䖟
䖸 䖸
䗈 䗈
䗥 䗥
䗪 䗪
䗬 蜂
䗶 䗶
䘏 恤
䘑 脉
䘚 卒
䛐 词
䛟 䛟
䝓 䝓
䝔 獾
䞓 䞓
䟆 䟆
䟖 䟖
䠀 䠀
䠀 趟
䠞 䠞
䠶 射
䢺 䢺
䤈 䤈
䥑 鿏
䥥 镰
䥯 䥯
䦉 䦉
䦕 䦕
䩦 䩦
䫏 䫏
䬃 飒
䬠 䬠
䬪 䬪
䭾 驮
䯝 䯝
䰟 魂
䰾 鲃
䰾魚 鲃鱼
䲁 鳚
䲔 䲔
䲘 鳤
䳗 䳗
䳘 鹅
䳭 䳭
䴉 鹮
䴉嘴鷸 鹮嘴鹬
䴸 麸
䵹 䵹
䶊 衄
䶑 䶑
一 一
一一 一一
一一對應 一一对应
一一映射 一一映射
一丁不識 一丁不识
一丁點 一丁点
一下 一下
一下兒 一下儿
一下子 一下子
一不做，二不休 一不做，二不休
一不小心 一不小心
一世 一世
一丘之貉 一丘之貉
一並 一并
一中一台 一中一台
一中原則 一中原则
一之為甚 一之为甚
一之謂甚 一之谓甚
一乾二淨 一干二净
一了百了 一了百了
一事無成 一事无成
一二 一二
一二九運動 一二九运动
一二八事變 一二八事变
一五一十 一五一十
一些 一些
一人得道，雞犬升天 一人得道，鸡犬升天
一介不取 一介不取
一代 一代
一代不如一代 一代不如一代
一併 一并
一來 一来
一來二去 一来二去
一個中國政策 一个中国政策
一個人 一个人
一個個 一个个
一個勁 一个劲
一個勁兒 一个劲儿
一個半 一个半
一個天南，一個地北 一个天南，一个地北
一個將軍一個令 一个将军一个令
一個巴掌拍不響 一个巴掌拍不响
一個幽靈在歐洲遊蕩 一个幽灵在欧洲游荡
一個接一個 一个接一个
一個樣 一个样
一個蘿蔔一個坑 一个萝卜一个坑
一個頭兩個大 一个头两个大
一倡三歎 一倡三叹
一側化 一侧化
一傳十，十傳百 一传十，十传百
一價 一价
一元 一元
一元化 一元化
一元復始 一元复始
一元論 一元论
一元醇 一元醇
一共 一共
一再 一再
一准 一准
一刀兩斷 一刀两断
一刀切 一刀切
一分一毫 一分一毫
一分為二 一分为二
一分熟 一分熟
一分耕耘，一分收穫 一分耕耘，一分收获
一分錢一分貨 一分钱一分货
一分錢兩分貨 一分钱两分货
一切 一切
一切事物 一切事物
一切向錢看 一切向钱看
一切如舊 一切如旧
一切就緒 一切就绪
一切險 一切险
一刻千金 一刻千金
一則 一则
一則以喜，一則以憂 一则以喜，一则以忧
一剎那 一刹那
一動不動 一动不动
一勞永逸 一劳永逸
一匙 一匙
一千零一夜 一千零一夜
一半 一半
一半天 一半天
一卡通 一卡通
一去不回 一去不回
一去不復返 一去不复返
一去無影蹤 一去无影踪
一反常態 一反常态
一反往常 一反往常
一口 一口
一口吃不成胖子 一口吃不成胖子
一口吃個胖子 一口吃个胖子
一口咬定 一口咬定
一口氣 一口气
一口氣兒 一口气儿
一古腦兒 一古脑儿
一句 一句
一句話 一句话
一同 一同
一吐為快 一吐为快
一向 一向
一周 一周
一味 一味
一呼百應 一呼百应
一呼百諾 一呼百诺
一命嗚呼 一命呜呼
一命歸天 一命归天
一命歸西 一命归西
一命歸陰 一命归阴
一品 一品
一品紅 一品红
一品鍋 一品锅
一哄而散 一哄而散
一哄而起 一哄而起
一哭二鬧三上吊 一哭二闹三上吊
一唱一和 一唱一和
一唱三嘆 一唱三叹
一問三不知 一问三不知
一回事 一回事
一回生二回熟 一回生二回熟
一回生兩回熟 一回生两回熟
一國兩制 一国两制
一團亂糟 一团乱糟
一團和氣 一团和气
一團漆黑 一团漆黑
一團火 一团火
一團糟 一团糟
一堆 一堆
一場空 一场空
一塊 一块
一塊兒 一块儿
一塌糊塗 一塌糊涂
一塵不染 一尘不染
一壁 一壁
一壁廂 一壁厢
一夔已足 一夔已足
一夕 一夕
一夕數驚 一夕数惊
一多對應 一多对应
一夜之間 一夜之间
一夜情 一夜情
一夜無眠 一夜无眠
一夜爆紅 一夜爆红
一夜露水 一夜露水
一大早 一大早
一大早兒 一大早儿
一天一個樣 一天一个样
一天到晚 一天到晚
一夫一妻 一夫一妻
一夫多妻 一夫多妻
一夫當關，萬夫莫開 一夫当关，万夫莫开
一失足成千古恨 一失足成千古恨
一套 一套
一如 一如
一如往常 一如往常
一如所料 一如所料
一如既往 一如既往
一妻制 一妻制
一孔之見 一孔之见
一字 一字
一字一淚 一字一泪
一字不差 一字不差
一字不提 一字不提
一字不漏 一字不漏
一字不落 一字不落
一字不識 一字不识
一字之師 一字之师
一字兒 一字儿
一字千金 一字千金
